N,cache,num_cycle,dma_read_req,dma_write_req,load_under_miss,store_under_miss
4096,blocking,6810,0,0,0,0
8192,blocking,14274,0,0,0,0
16384,blocking,27899,0,0,0,0
32768,blocking,54317,0,0,0,0
65536,blocking,4732045,43785,32177,0,0
131072,blocking,13785783,135076,73124,0,0
262144,blocking,25891202,255857,130381,0,0
4096,non-blocking-8,7525,0,0,0,0
8192,non-blocking-8,13973,0,0,0,0
16384,non-blocking-8,26843,0,0,0,0
32768,non-blocking-8,52589,0,0,0,0
65536,non-blocking-8,4448547,35601,35602,2653,34159
131072,non-blocking-8,10341727,82413,82414,7413,54744
262144,non-blocking-8,34858699,280764,280765,2346,86094
4096,non-blocking-16,7525,0,0,0,0
8192,non-blocking-16,13977,0,0,0,0
16384,non-blocking-16,26859,2,0,0,0
32768,non-blocking-16,52589,0,0,0,0
65536,non-blocking-16,4361782,34878,34879,1795,26920
131072,non-blocking-16,10032752,79896,79897,4850,40513
262144,non-blocking-16,24376700,193849,193850,6845,77413
4096,non-blocking-32,7525,0,0,0,0
8192,non-blocking-32,13973,9,0,0,0
16384,non-blocking-32,26833,5,0,0,0
32768,non-blocking-32,52589,3,0,0,0
65536,non-blocking-32,4311452,34548,34549,1148,21335
131072,non-blocking-32,9878057,78614,78615,2878,33524
262144,non-blocking-32,20450157,162589,162590,5894,63292